Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-12,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1122.55,1127.8,1110.18,1125.99,1576134148,
2026-02-12,KRW=X,USD/KRW,FX,yfinance,1447.300048828125,1449.6800537109375,1431.5400390625,1444.18994140625,0,
2026-02-12,KS11,KOSPI,KR_INDEX,FinanceDataReader,5425.39,5522.27,5399.52,5522.27,750614562,
2026-02-12,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,418.3299865722656,420.0400085449219,405.2799987792969,406.1099853515625,7379100,
2026-02-12,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,363.4599914550781,365.3800048828125,351.04998779296875,351.5,9488000,
2026-02-12,^GSPC,S&P 500,US_INDEX,yfinance,6957.5400390625,6973.22021484375,6824.0400390625,6832.759765625,7118700000,
2026-02-12,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23142.869140625,23161.599609375,22548.01953125,22597.150390625,8855290000,
2026-02-13,000660,SK Hynix,KR_STOCK,FinanceDataReader,889000.0,903000.0,878000.0,880000.0,3534047,
2026-02-13,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,179500.0,184400.0,178900.0,181200.0,34454192,
2026-02-13,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,205500.0,208500.0,200000.0,202500.0,1093939,
2026-02-13,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1113.53,1117.91,1099.62,1106.08,1466898939,
2026-02-13,KRW=X,USD/KRW,FX,yfinance,1440.1099853515625,1448.3499755859375,1438.3499755859375,1440.9000244140625,0,
2026-02-13,KS11,KOSPI,KR_INDEX,FinanceDataReader,5513.71,5583.74,5480.92,5507.01,1290658558,
2026-02-13,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,408.1499938964844,412.07000732421875,402.489990234375,407.7200012207031,6481600,
2026-02-13,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,352.79998779296875,357.6099853515625,348.67999267578125,354.6600036621094,5963000,
2026-02-13,^GSPC,S&P 500,US_INDEX,yfinance,6834.27001953125,6881.9599609375,6794.5498046875,6836.169921875,5718360000,
2026-02-13,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22561.4609375,22742.060546875,22402.380859375,22546.669921875,7964830000,
2026-02-16,KRW=X,USD/KRW,FX,yfinance,1443.1400146484375,1444.81005859375,1436.1800537109375,1439.52001953125,0,
2026-02-17,KRW=X,USD/KRW,FX,yfinance,1440.219970703125,1448.8699951171875,1439.3499755859375,1440.22998046875,0,
2026-02-17,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,402.7099914550781,410.8699951171875,397.7699890136719,407.510009765625,7312700,
2026-02-17,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,349.80999755859375,357.1000061035156,345.32000732421875,354.1000061035156,4068900,
2026-02-17,^GSPC,S&P 500,US_INDEX,yfinance,6819.85986328125,6866.990234375,6775.5,6843.22021484375,5418480000,
2026-02-17,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22394.759765625,22690.830078125,22256.759765625,22578.380859375,7654300000,
2026-02-18,KRW=X,USD/KRW,FX,yfinance,1439.949951171875,1449.699951171875,1439.449951171875,1439.969970703125,0,
2026-02-18,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,411.44000244140625,417.0400085449219,408.7200012207031,412.54998779296875,5839900,
2026-02-18,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,355.82000732421875,361.6700134277344,353.6000061035156,357.9200134277344,5681200,
2026-02-18,^GSPC,S&P 500,US_INDEX,yfinance,6855.47998046875,6909.1201171875,6849.66015625,6881.31005859375,5098160000,
2026-02-18,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22629.849609375,22895.9609375,22597.76953125,22753.630859375,7705590000,
